id;cie10;nombre;descripcion;fechaRegistro;estadoReg;edadFin;edadIni;flagSivigila;habilitadoMipres
1060;C609;Tumor maligno del pene, parte no especificada;Tumor maligno del pene, parte no especificada;19/07/2024;A;1;100;A;1
1061;C61X;Tumor maligno de la prostata;Tumor maligno de la prostata;19/07/2024;A;1;100;A;1
1062;C620;Tumor maligno del testiculo no descendido;Tumor maligno del testiculo no descendido;19/07/2024;A;1;100;A;1
1063;C621;Tumor maligno del testiculo descendido;Tumor maligno del testiculo descendido;19/07/2024;A;1;100;A;1
1064;C629;Tumor maligno del testiculo, no especificado;Tumor maligno del testiculo, no especificado;19/07/2024;A;1;100;A;1
1065;C630;Tumor maligno del epididimo;Tumor maligno del epididimo;19/07/2024;A;1;100;A;1
1066;C631;Tumor maligno del cordon espermatico;Tumor maligno del cordon espermatico;19/07/2024;A;1;100;A;1
1067;C632;Tumor maligno del escroto;Tumor maligno del escroto;19/07/2024;A;1;100;A;1
1068;C637;Tumor maligno de otras partes especificadas de los organos genitales masculinos;Tumor maligno de otras partes especificadas de los organos genitales masculinos;19/07/2024;A;1;100;A;1
1069;C638;Lesion de sitios contiguos de los organos genitales masculinos;Lesion de sitios contiguos de los organos genitales masculinos;19/07/2024;A;1;100;A;1
1070;C639;Tumor maligno de organo genital masculino, parte no especificada;Tumor maligno de organo genital masculino, parte no especificada;19/07/2024;A;1;100;A;1
1071;C64X;Tumor maligno del rinon, excepto de la pelvis renal;Tumor maligno del rinon, excepto de la pelvis renal;19/07/2024;A;1;100;A;1
1072;C65X;Tumor maligno de la pelvis renal;Tumor maligno de la pelvis renal;19/07/2024;A;1;100;A;1
1073;C66X;Tumor maligno del ureter;Tumor maligno del ureter;19/07/2024;A;1;100;A;1
1074;C670;Tumor maligno del trigono vesical;Tumor maligno del trigono vesical;19/07/2024;A;1;100;A;1
1075;C671;Tumor maligno de la cupula vesical;Tumor maligno de la cupula vesical;19/07/2024;A;1;100;A;1
1076;C672;Tumor maligno de la pared lateral de la vejiga;Tumor maligno de la pared lateral de la vejiga;19/07/2024;A;1;100;A;1
1077;C673;Tumor maligno de la pared anterior de la vejiga;Tumor maligno de la pared anterior de la vejiga;19/07/2024;A;1;100;A;1
1078;C674;Tumor maligno de la pared posterior de la vejiga;Tumor maligno de la pared posterior de la vejiga;19/07/2024;A;1;100;A;1
1079;C675;Tumor maligno del cuello de la vejiga;Tumor maligno del cuello de la vejiga;19/07/2024;A;1;100;A;1
1080;C676;Tumor maligno del orificio ureteral;Tumor maligno del orificio ureteral;19/07/2024;A;1;100;A;1
1081;C677;Tumor maligno del uraco;Tumor maligno del uraco;19/07/2024;A;1;100;A;1
1082;C678;Lesion de sitios contiguos de la vejiga;Lesion de sitios contiguos de la vejiga;19/07/2024;A;1;100;A;1
1083;C679;Tumor maligno de la vejiga urinaria, parte no especificada;Tumor maligno de la vejiga urinaria, parte no especificada;19/07/2024;A;1;100;A;1
1084;C680;Tumor maligno de la uretra;Tumor maligno de la uretra;19/07/2024;A;1;100;A;1
1085;C681;Tumor maligno de las glandulas parauretrales;Tumor maligno de las glandulas parauretrales;19/07/2024;A;1;100;A;1
1086;C688;Lesion de sitios contiguos de los organos urinarios;Lesion de sitios contiguos de los organos urinarios;19/07/2024;A;1;100;A;1
1087;C689;Tumor maligno de organo urinario no especificado;Tumor maligno de organo urinario no especificado;19/07/2024;A;1;100;A;1
1088;C690;Tumor maligno de la conjuntiva;Tumor maligno de la conjuntiva;19/07/2024;A;1;100;A;1
1089;C691;Tumor maligno de la cornea;Tumor maligno de la cornea;19/07/2024;A;1;100;A;1
1090;C692;Tumor maligno de la retina;Tumor maligno de la retina;19/07/2024;A;1;100;A;1
1091;C693;Tumor maligno de la coroides;Tumor maligno de la coroides;19/07/2024;A;1;100;A;1
1092;C694;Tumor maligno del cuerpo ciliar;Tumor maligno del cuerpo ciliar;19/07/2024;A;1;100;A;1
1093;C695;Tumor maligno de la glandula y conducto lagrimales;Tumor maligno de la glandula y conducto lagrimales;19/07/2024;A;1;100;A;1
1094;C696;Tumor maligno de la orbita;Tumor maligno de la orbita;19/07/2024;A;1;100;A;1
1095;C698;Lesion de sitios contiguos del ojo y sus anexos;Lesion de sitios contiguos del ojo y sus anexos;19/07/2024;A;1;100;A;1
1096;C699;Tumor maligno del ojo, parte no especificada;Tumor maligno del ojo, parte no especificada;19/07/2024;A;1;100;A;1
1097;C700;Tumor maligno de las meninges cerebrales;Tumor maligno de las meninges cerebrales;19/07/2024;A;1;100;A;1
1098;C701;Tumor maligno de las meninges raquideas;Tumor maligno de las meninges raquideas;19/07/2024;A;1;100;A;1
1099;C709;Tumor maligno de las meninges, parte no especificada;Tumor maligno de las meninges, parte no especificada;19/07/2024;A;1;100;A;1
1100;C710;Tumor maligno del cerebro, excepto lobulos y ventriculos;Tumor maligno del cerebro, excepto lobulos y ventriculos;19/07/2024;A;1;100;A;1
1101;C711;Tumor maligno del lobulo frontal;Tumor maligno del lobulo frontal;19/07/2024;A;1;100;A;1
1102;C712;Tumor maligno del lobulo temporal;Tumor maligno del lobulo temporal;19/07/2024;A;1;100;A;1
1103;C713;Tumor maligno del lobulo parietal;Tumor maligno del lobulo parietal;19/07/2024;A;1;100;A;1
1104;C714;Tumor maligno del lobulo occipital;Tumor maligno del lobulo occipital;19/07/2024;A;1;100;A;1
1105;C715;Tumor maligno del ventriculo cerebral;Tumor maligno del ventriculo cerebral;19/07/2024;A;1;100;A;1
1106;C716;Tumor maligno del cerebelo;Tumor maligno del cerebelo;19/07/2024;A;1;100;A;1
1107;C717;Tumor maligno del pedunculo cerebral;Tumor maligno del pedunculo cerebral;19/07/2024;A;1;100;A;1
1108;C718;Lesion de sitios contiguos del encefalo;Lesion de sitios contiguos del encefalo;19/07/2024;A;1;100;A;1
1109;C719;Tumor maligno del encefalo, parte no especificada;Tumor maligno del encefalo, parte no especificada;19/07/2024;A;1;100;A;1
1110;C720;Tumor maligno de la medula espinal;Tumor maligno de la medula espinal;19/07/2024;A;1;100;A;1
1111;C721;Tumor maligno de la cola de caballo;Tumor maligno de la cola de caballo;19/07/2024;A;1;100;A;1
1112;C722;Tumor maligno del nervio olfatorio;Tumor maligno del nervio olfatorio;19/07/2024;A;1;100;A;1
1113;C723;Tumor maligno del nervio optico;Tumor maligno del nervio optico;19/07/2024;A;1;100;A;1
1114;C724;Tumor maligno del nervio acustico;Tumor maligno del nervio acustico;19/07/2024;A;1;100;A;1
1115;C725;Tumor maligno de otros nervios craneales y los no especificados;Tumor maligno de otros nervios craneales y los no especificados;19/07/2024;A;1;100;A;1
1116;C728;Lesion de sitios contiguos del encefalo y otras partes del sistema nervioso central;Lesion de sitios contiguos del encefalo y otras partes del sistema nervioso central;19/07/2024;A;1;100;A;1
1117;C729;Tumor maligno del sistema nervioso central, sin otra especificacion;Tumor maligno del sistema nervioso central, sin otra especificacion;19/07/2024;A;1;100;A;1
1118;C73X;Tumor maligno de la glandula tiroides;Tumor maligno de la glandula tiroides;19/07/2024;A;1;100;A;1
1119;C740;Tumor maligno de la corteza de la glandula suprarrenal;Tumor maligno de la corteza de la glandula suprarrenal;19/07/2024;A;1;100;A;1
1120;C741;Tumor maligno de la medula de la glandula suprarrenal;Tumor maligno de la medula de la glandula suprarrenal;19/07/2024;A;1;100;A;1
1121;C749;Tumor maligno de la glandula suprarrenal, parte no especificada;Tumor maligno de la glandula suprarrenal, parte no especificada;19/07/2024;A;1;100;A;1
1122;C750;Tumor maligno de la glandula paratiroides;Tumor maligno de la glandula paratiroides;19/07/2024;A;1;100;A;1
1123;C751;Tumor maligno de la hipofisis;Tumor maligno de la hipofisis;19/07/2024;A;1;100;A;1
1124;C752;Tumor maligno del conducto craneofaringeo;Tumor maligno del conducto craneofaringeo;19/07/2024;A;1;100;A;1
1125;C753;Tumor maligno de la glandula pineal;Tumor maligno de la glandula pineal;19/07/2024;A;1;100;A;1
1126;C754;Tumor maligno del cuerpo carotideo;Tumor maligno del cuerpo carotideo;19/07/2024;A;1;100;A;1
1127;C755;Tumor maligno del cuerpo aortico y otros cuerpos cromafines;Tumor maligno del cuerpo aortico y otros cuerpos cromafines;19/07/2024;A;1;100;A;1
1128;C758;Tumor maligno pluriglandular, no especificado;Tumor maligno pluriglandular, no especificado;19/07/2024;A;1;100;A;1
1129;C759;Tumor maligno de glandula endocrina no especificada;Tumor maligno de glandula endocrina no especificada;19/07/2024;A;1;100;A;1
1130;C760;Tumor maligno de la cabeza, cara y cuello;Tumor maligno de la cabeza, cara y cuello;19/07/2024;A;1;100;A;1
1131;C761;Tumor maligno del torax;Tumor maligno del torax;19/07/2024;A;1;100;A;1
1132;C762;Tumor maligno del abdomen;Tumor maligno del abdomen;19/07/2024;A;1;100;A;1
1133;C763;Tumor maligno de la pelvis;Tumor maligno de la pelvis;19/07/2024;A;1;100;A;1
1134;C764;Tumor maligno del miembro superior;Tumor maligno del miembro superior;19/07/2024;A;1;100;A;1
1135;C765;Tumor maligno del miembro inferior;Tumor maligno del miembro inferior;19/07/2024;A;1;100;A;1
1136;C767;Tumor maligno de otros sitios mal definidos;Tumor maligno de otros sitios mal definidos;19/07/2024;A;1;100;A;1
1137;C768;Lesion de sitios contiguos mal definidos;Lesion de sitios contiguos mal definidos;19/07/2024;A;1;100;A;1
1138;C770;Tumor maligno de los ganglios linfaticos de la cabeza, cara y cuello;Tumor maligno de los ganglios linfaticos de la cabeza, cara y cuello;19/07/2024;A;1;100;A;1
1139;C771;Tumor maligno de los ganglios linfaticos intratoracicos;Tumor maligno de los ganglios linfaticos intratoracicos;19/07/2024;A;1;100;A;1
1140;C772;Tumor maligno de los ganglios linfaticos intraabdominales;Tumor maligno de los ganglios linfaticos intraabdominales;19/07/2024;A;1;100;A;1
1141;C773;Tumor maligno de los ganglios linfaticos de la axila y del miembro superior;Tumor maligno de los ganglios linfaticos de la axila y del miembro superior;19/07/2024;A;1;100;A;1
1142;C774;Tumor maligno de los ganglios linfaticos de la region inguinal y del miembro inferior;Tumor maligno de los ganglios linfaticos de la region inguinal y del miembro inferior;19/07/2024;A;1;100;A;1
1143;C775;Tumor maligno de los ganglios linfaticos de la pelvis;Tumor maligno de los ganglios linfaticos de la pelvis;19/07/2024;A;1;100;A;1
1144;C778;Tumor maligno de los ganglios linfaticos de regiones multiples;Tumor maligno de los ganglios linfaticos de regiones multiples;19/07/2024;A;1;100;A;1
1145;C779;Tumor maligno del ganglio linfatico, sitio no especificado;Tumor maligno del ganglio linfatico, sitio no especificado;19/07/2024;A;1;100;A;1
1146;C780;Tumor maligno secundario del pulmon;Tumor maligno secundario del pulmon;19/07/2024;A;1;100;A;1
1147;C781;Tumor maligno secundario del mediastino;Tumor maligno secundario del mediastino;19/07/2024;A;1;100;A;1
1148;C782;Tumor maligno secundario de la pleura;Tumor maligno secundario de la pleura;19/07/2024;A;1;100;A;1
1149;C783;Tumor maligno secundario de otros organos respiratorios y de los no especificados;Tumor maligno secundario de otros organos respiratorios y de los no especificados;19/07/2024;A;1;100;A;1
1150;C784;Tumor maligno secundario del intestino delgado;Tumor maligno secundario del intestino delgado;19/07/2024;A;1;100;A;1
1151;C785;Tumor maligno secundario del intestino grueso y del recto;Tumor maligno secundario del intestino grueso y del recto;19/07/2024;A;1;100;A;1
1152;C786;Tumor maligno secundario del peritoneo y del retroperitoneo;Tumor maligno secundario del peritoneo y del retroperitoneo;19/07/2024;A;1;100;A;1
1153;C787;Tumor maligno secundario del higado y de los conductos biliares intrahepaticos;Tumor maligno secundario del higado y de los conductos biliares intrahepaticos;19/07/2024;A;1;100;A;1
1154;C788;Tumor maligno secundario de otros organos digestivos y de los no especificados;Tumor maligno secundario de otros organos digestivos y de los no especificados;19/07/2024;A;1;100;A;1
1155;C790;Tumor maligno secundario del rinon y de la pelvis renal;Tumor maligno secundario del rinon y de la pelvis renal;19/07/2024;A;1;100;A;1
1156;C791;Tumor maligno secundario de la vejiga, y de otros organos y los no especificados de las vias urinarias;Tumor maligno secundario de la vejiga, y de otros organos y los no especificados de las vias urinarias;19/07/2024;A;1;100;A;1
1157;C792;Tumor maligno secundario de la piel;Tumor maligno secundario de la piel;19/07/2024;A;1;100;A;1
1158;C793;Tumor maligno secundario del encefalo y de las meninges cerebrales;Tumor maligno secundario del encefalo y de las meninges cerebrales;19/07/2024;A;1;100;A;1
1159;C794;Tumor maligno secundario de otras partes del sistema nervioso y de las no especificadas;Tumor maligno secundario de otras partes del sistema nervioso y de las no especificadas;19/07/2024;A;1;100;A;1
1160;C795;Tumor maligno secundario de los huesos y de la medula osea;Tumor maligno secundario de los huesos y de la medula osea;19/07/2024;A;1;100;A;1
1161;C796;Tumor maligno secundario del ovario;Tumor maligno secundario del ovario;19/07/2024;A;1;100;A;1
1162;C797;Tumor maligno secundario de la glandula suprarrenal;Tumor maligno secundario de la glandula suprarrenal;19/07/2024;A;1;100;A;1
1163;C798;Tumor maligno secundario de otros sitios especificados;Tumor maligno secundario de otros sitios especificados;19/07/2024;A;1;100;A;1
1164;C799;Tumor maligno secundario, sitio no especificado;Tumor maligno secundario, sitio no especificado;19/07/2024;A;1;100;A;1
1165;C800;Tumor maligno, de sitio primario desconocido, asi descrito;Tumor maligno, de sitio primario desconocido, asi descrito;19/07/2024;A;1;100;A;1
1166;C809;Tumor maligno, sitio primario no especificado;Tumor maligno, sitio primario no especificado;19/07/2024;A;1;100;A;1
1167;C80X;Tumor maligno de sitios no especificados;Tumor maligno de sitios no especificados;19/07/2024;A;1;100;A;0
1168;C810;Linfoma de Hodgkin con predominio linfocitico nodular;Linfoma de Hodgkin con predominio linfocitico nodular;19/07/2024;A;1;100;A;1
1169;C811;Linfoma de Hodgkin clasico con esclerosis nodular;Linfoma de Hodgkin clasico con esclerosis nodular;19/07/2024;A;1;100;A;1
1170;C812;Linfoma de Hodgkin clasico con celularidad mixta;Linfoma de Hodgkin clasico con celularidad mixta;19/07/2024;A;1;100;A;1
1171;C813;Linfoma de Hodgkin clasico con deplecion linfocitica;Linfoma de Hodgkin clasico con deplecion linfocitica;19/07/2024;A;1;100;A;1
1172;C814;Linfoma de Hodgkin clasico rico en linfocitos;Linfoma de Hodgkin clasico rico en linfocitos;19/07/2024;A;1;100;A;1
1173;C817;Otros tipos de linfomas de Hodgkin clasicos;Otros tipos de linfomas de Hodgkin clasicos;19/07/2024;A;1;100;A;1
1174;C817;Otros tipos de linfomas de Hodgkin clasicos;Otros tipos de linfomas de Hodgkin clasicos;19/07/2024;A;1;100;A;0
1175;C819;Linfoma de Hodgkin, no especificado;Linfoma de Hodgkin, no especificado;19/07/2024;A;1;100;A;1
1176;C820;Linfoma folicular grado I;Linfoma folicular grado I;19/07/2024;A;1;100;A;1
1177;C821;Linfoma folicular grado II;Linfoma folicular grado II;19/07/2024;A;1;100;A;1
1178;C822;Linfoma folicular grado III no especificado;Linfoma folicular grado III no especificado;19/07/2024;A;1;100;A;1
1179;C823;Linfoma folicular grado IIIa;Linfoma folicular grado IIIa;19/07/2024;A;1;100;A;1
1180;C824;Linfoma folicular grado IIIb;Linfoma folicular grado IIIb;19/07/2024;A;1;100;A;1
1181;C825;Linfoma centro folicular difuso;Linfoma centro folicular difuso;19/07/2024;A;1;100;A;1
1182;C826;Linfoma centro folicular cutaneo;Linfoma centro folicular cutaneo;19/07/2024;A;1;100;A;1
1183;C827;Otros tipos especificados de linfoma folicular;Otros tipos especificados de linfoma folicular;19/07/2024;A;1;100;A;1
1184;C829;Linfoma folicular, sin otra especificacion;Linfoma folicular, sin otra especificacion;19/07/2024;A;1;100;A;1
1185;C830;Linfoma de celulas B pequenas;Linfoma de celulas B pequenas;19/07/2024;A;1;100;A;1
1186;C831;Linfoma de celulas del manto;Linfoma de celulas del manto;19/07/2024;A;1;100;A;1
1187;C832;Linfoma no Hodgkin mixto, de celulas pequenas y grandes (difuso);Linfoma no Hodgkin mixto, de celulas pequenas y grandes (difuso);19/07/2024;A;1;100;A;0
1188;C833;Linfoma de celulas grandes B difuso;Linfoma de celulas grandes B difuso;19/07/2024;A;1;100;A;1
1189;C834;Linfoma no Hodgkin inmunoblastico (difuso);Linfoma no Hodgkin inmunoblastico (difuso);19/07/2024;A;1;100;A;0
1190;C835;Linfoma linfoblastico (difuso);Linfoma linfoblastico (difuso);19/07/2024;A;1;100;A;1
1191;C836;Linfoma no Hodgkin indiferenciado (difuso);Linfoma no Hodgkin indiferenciado (difuso);19/07/2024;A;1;100;A;0
1192;C837;Linfoma de Burkitt;Linfoma de Burkitt;19/07/2024;A;1;100;A;1
1193;C838;Otros tipos especificados de linfoma no folicular;Otros tipos especificados de linfoma no folicular;19/07/2024;A;1;100;A;1
1194;C839;Linfoma no folicular (difuso), sin otra especificacion;Linfoma no folicular (difuso), sin otra especificacion;19/07/2024;A;1;100;A;1
1195;C840;Micosis fungoide;Micosis fungoide;19/07/2024;A;1;100;A;1
1196;C841;Enfermedad de Sezary;Enfermedad de Sezary;19/07/2024;A;1;100;A;1
1197;C842;Linfoma de zona T;Linfoma de zona T;19/07/2024;A;1;100;A;0
1198;C843;Linfoma linfoepitelioide;Linfoma linfoepitelioide;19/07/2024;A;1;100;A;0
1199;C844;Linfoma periferico de celulas T, no clasificado en otra parte;Linfoma periferico de celulas T, no clasificado en otra parte;19/07/2024;A;1;100;A;1
1200;C845;Otros linfomas de celulas T/NK maduras;Otros linfomas de celulas T/NK maduras;19/07/2024;A;1;100;A;1
1201;C846;Linfoma anaplasico de celulas grandes ALK-positivo;Linfoma anaplasico de celulas grandes ALK-positivo;19/07/2024;A;1;100;A;1
1202;C847;Linfoma anaplasico de celulas grandes ALK-negativo;Linfoma anaplasico de celulas grandes ALK-negativo;19/07/2024;A;1;100;A;1
1203;C848;Linfoma cutaneo de celulas T, no especificado;Linfoma cutaneo de celulas T, no especificado;19/07/2024;A;1;100;A;1
1204;C849;Linfoma de celulas T/NK maduras, no especificado;Linfoma de celulas T/NK maduras, no especificado;19/07/2024;A;1;100;A;1
1205;C850;Linfosarcoma;Linfosarcoma;19/07/2024;A;1;100;A;0
1206;C851;Linfoma de celulas B, sin otra especificacion;Linfoma de celulas B, sin otra especificacion;19/07/2024;A;1;100;A;1
1207;C852;Linfoma mediastinal de celulas B grandes (del timo);Linfoma mediastinal de celulas B grandes (del timo);19/07/2024;A;1;100;A;1
1208;C857;Otros tipos especificados de linfoma no Hodgkin;Otros tipos especificados de linfoma no Hodgkin;19/07/2024;A;1;100;A;1
1209;C859;Linfoma no Hodgkin, no especificado;Linfoma no Hodgkin, no especificado;19/07/2024;A;1;100;A;1
1210;C860;Linfoma extranodal de celulas T/NK, tipo nasal;Linfoma extranodal de celulas T/NK, tipo nasal;19/07/2024;A;1;100;A;1
1211;C861;Linfoma hepatoesplenico de celulas T;Linfoma hepatoesplenico de celulas T;19/07/2024;A;1;100;A;1
1212;C862;Linfoma de celulas T tipo enteropatia (intestinal);Linfoma de celulas T tipo enteropatia (intestinal);19/07/2024;A;1;100;A;1
1213;C863;Linfoma de celulas T tipo paniculitis subcutanea;Linfoma de celulas T tipo paniculitis subcutanea;19/07/2024;A;1;100;A;1
1214;C864;Linfoma blastico de celulas NK;Linfoma blastico de celulas NK;19/07/2024;A;1;100;A;1
1215;C865;Linfoma angioinmunoblastico de celulas T;Linfoma angioinmunoblastico de celulas T;19/07/2024;A;1;100;A;1
1216;C866;Trastornos linfoproliferativos primario cutaneos de celulas T CD30-positivo;Trastornos linfoproliferativos primario cutaneos de celulas T CD30-positivo;19/07/2024;A;1;100;A;1
1217;C880;Macroglobulinemia de Waldenstr'm;Macroglobulinemia de Waldenstr'm;19/07/2024;A;1;100;A;1
1218;C881;Enfermedad de cadena pesada alfa;Enfermedad de cadena pesada alfa;19/07/2024;A;1;100;A;0
1219;C882;Otras enfermedades de cadena pesada;Otras enfermedades de cadena pesada;19/07/2024;A;1;100;A;1
1220;C883;Enfermedad inmunoproliferativa del intestino delgado;Enfermedad inmunoproliferativa del intestino delgado;19/07/2024;A;1;100;A;1
1221;C884;Linfoma de celulas B extranodal de zona marginal de tejido linfoide asociado a mucosas [Linfoma TLAM];Linfoma de celulas B extranodal de zona marginal de tejido linfoide asociado a mucosas [Linfoma TLAM];19/07/2024;A;1;100;A;1
1222;C887;Otras enfermedades inmunoproliferativas malignas;Otras enfermedades inmunoproliferativas malignas;19/07/2024;A;1;100;A;1
1223;C889;Enfermedad inmunoproliferativa maligna, sin otra especificacion;Enfermedad inmunoproliferativa maligna, sin otra especificacion;19/07/2024;A;1;100;A;1
1224;C900;Mieloma multiple;Mieloma multiple;19/07/2024;A;1;100;A;1
1225;C901;Leucemia de celulas plasmaticas;Leucemia de celulas plasmaticas;19/07/2024;A;1;100;A;1
1226;C902;Plasmocitoma extramedular;Plasmocitoma extramedular;19/07/2024;A;1;100;A;1
1227;C903;Plasmocitoma solitario;Plasmocitoma solitario;19/07/2024;A;1;100;A;1
1228;C910;Leucemia linfoblastica aguda [LLA];Leucemia linfoblastica aguda [LLA];19/07/2024;A;1;100;A;1
1229;C911;Leucemia linfocitica cronica de celula tipo B;Leucemia linfocitica cronica de celula tipo B;19/07/2024;A;1;100;A;1
1230;C912;Leucemia linfocitica subaguda;Leucemia linfocitica subaguda;19/07/2024;A;1;100;A;0
1231;C913;Leucemia prolinfocitica de celula tipo B;Leucemia prolinfocitica de celula tipo B;19/07/2024;A;1;100;A;1
1232;C914;Leucemia de celulas vellosas;Leucemia de celulas vellosas;19/07/2024;A;1;100;A;1
1233;C915;Leucemia/linfoma de celulas T adultas [HTLV-1-asociado];Leucemia/linfoma de celulas T adultas [HTLV-1-asociado];19/07/2024;A;1;100;A;1
1234;C916;Leucemia prolinfocitica de celulas tipo T;Leucemia prolinfocitica de celulas tipo T;19/07/2024;A;1;100;A;1
1235;C917;Otras leucemias linfoides;Otras leucemias linfoides;19/07/2024;A;1;100;A;1
1236;C918;Leucemia tipo Burkitt de celulas B maduras;Leucemia tipo Burkitt de celulas B maduras;19/07/2024;A;1;100;A;1
1237;C919;Leucemia linfoide, sin otra especificacion;Leucemia linfoide, sin otra especificacion;19/07/2024;A;1;100;A;1
1238;C920;Leucemia mieloblastica aguda [LMA];Leucemia mieloblastica aguda [LMA];19/07/2024;A;1;100;A;1
1239;C921;Leucemia mieloide cronica [LMC], BCR/ABL-positivo;Leucemia mieloide cronica [LMC], BCR/ABL-positivo;19/07/2024;A;1;100;A;1
1240;C922;Leucemia mieloide cronica atipica, BCR/ABL-negativo;Leucemia mieloide cronica atipica, BCR/ABL-negativo;19/07/2024;A;1;100;A;1
1241;C923;Sarcoma mieloide;Sarcoma mieloide;19/07/2024;A;1;100;A;1
1242;C924;Leucemia promielocitica aguda [LPA];Leucemia promielocitica aguda [LPA];19/07/2024;A;1;100;A;1
1243;C925;Leucemia mielomonocitica aguda;Leucemia mielomonocitica aguda;19/07/2024;A;1;100;A;1
1244;C926;Leucemia mieloide aguda con anormalidad 11q23;Leucemia mieloide aguda con anormalidad 11q23;19/07/2024;A;1;100;A;1
1245;C927;Otras leucemias mieloides;Otras leucemias mieloides;19/07/2024;A;1;100;A;1
1246;C928;Leucemia mieloide aguda con displasia multilinaje;Leucemia mieloide aguda con displasia multilinaje;19/07/2024;A;1;100;A;1
1247;C929;Leucemia mieloide, sin otra especificacion;Leucemia mieloide, sin otra especificacion;19/07/2024;A;1;100;A;1
1248;C930;Leucemia monocitica/monoblastica aguda;Leucemia monocitica/monoblastica aguda;19/07/2024;A;1;100;A;1
1249;C931;Leucemia mielomonocitica cronica;Leucemia mielomonocitica cronica;19/07/2024;A;1;100;A;1
1250;C932;Leucemia monocitica subaguda;Leucemia monocitica subaguda;19/07/2024;A;1;100;A;0
1251;C933;Leucemia mielomonocitica juvenil;Leucemia mielomonocitica juvenil;19/07/2024;A;1;100;A;1
1252;C937;Otras leucemias monociticas;Otras leucemias monociticas;19/07/2024;A;1;100;A;1
1253;C939;Leucemia monocitica, sin otra especificacion;Leucemia monocitica, sin otra especificacion;19/07/2024;A;1;100;A;1
1254;C940;Leucemia eritroide aguda;Leucemia eritroide aguda;19/07/2024;A;1;100;A;1
1255;C941;Eritremia cronica;Eritremia cronica;19/07/2024;A;1;100;A;0
1256;C942;Leucemia megacarioblastica aguda;Leucemia megacarioblastica aguda;19/07/2024;A;1;100;A;1
1257;C943;Leucemia de mastocitos;Leucemia de mastocitos;19/07/2024;A;1;100;A;1
1258;C944;Panmielosis aguda con mielofibrosis;Panmielosis aguda con mielofibrosis;19/07/2024;A;1;100;A;1
1259;C945;Mielofibrosis aguda;Mielofibrosis aguda;19/07/2024;A;1;100;A;0
1260;C946;Enfermedad mielodisplasica y mieloproliferativa, no clasificada en otra parte;Enfermedad mielodisplasica y mieloproliferativa, no clasificada en otra parte;19/07/2024;A;1;100;A;1
1261;C947;Otras leucemias especificadas;Otras leucemias especificadas;19/07/2024;A;1;100;A;1
1262;C950;Leucemia aguda, celulas de tipo no especificado;Leucemia aguda, celulas de tipo no especificado;19/07/2024;A;1;100;A;1
1263;C951;Leucemia cronica, celulas de tipo no especificado;Leucemia cronica, celulas de tipo no especificado;19/07/2024;A;1;100;A;1
1264;C952;Leucemia subaguda, celulas de tipo no especificado;Leucemia subaguda, celulas de tipo no especificado;19/07/2024;A;1;100;A;0
1265;C957;Otras leucemias de celulas de tipo no especificado;Otras leucemias de celulas de tipo no especificado;19/07/2024;A;1;100;A;1
1266;C959;Leucemia, no especificada;Leucemia, no especificada;19/07/2024;A;1;100;A;1
1267;C960; Histiocitosis de celulas de Langerhans multifocal y multisistemica (diseminada) [Enfermedad de Letterer-Siwe]; Histiocitosis de celulas de Langerhans multifocal y multisistemica (diseminada) [Enfermedad de Letterer-Siwe];19/07/2024;A;1;100;A;1
1268;C961;Histiocitosis maligna;Histiocitosis maligna;19/07/2024;A;1;100;A;0
1269;C962;Tumor maligno de mastocitos;Tumor maligno de mastocitos;19/07/2024;A;1;100;A;1
1270;C963;Linfoma histiocitico verdadero;Linfoma histiocitico verdadero;19/07/2024;A;1;100;A;0
1271;C964;Sarcoma de celulas dendriticas (celulas accesorias);Sarcoma de celulas dendriticas (celulas accesorias);19/07/2024;A;1;100;A;1
1272;C965;Histiocitosis de celulas de Langerhans multifocal y unisistemica;Histiocitosis de celulas de Langerhans multifocal y unisistemica;19/07/2024;A;1;100;A;1
1273;C966;Histiocitosis de celulas de Langerhans unifocal;Histiocitosis de celulas de Langerhans unifocal;19/07/2024;A;1;100;A;1
1274;C967;Otros tumores malignos especificados del tejido linfatico, hematopoyetico y tejidos afines;Otros tumores malignos especificados del tejido linfatico, hematopoyetico y tejidos afines;19/07/2024;A;1;100;A;1
1275;C968;Sarcoma histiocitico;Sarcoma histiocitico;19/07/2024;A;1;100;A;1
1276;C969;Tumor maligno del tejido linfatico, hematopoyetico y tejidos afines, sin otra especificacion;Tumor maligno del tejido linfatico, hematopoyetico y tejidos afines, sin otra especificacion;19/07/2024;A;1;100;A;1
1277;C97X;Tumores malignos (primarios) de sitios multiples independientes;Tumores malignos (primarios) de sitios multiples independientes;19/07/2024;A;1;100;A;1
1278;D000;Carcinoma in situ del labio, de la cavidad bucal y de la faringe;Carcinoma in situ del labio, de la cavidad bucal y de la faringe;19/07/2024;A;1;100;A;1
1279;D001;Carcinoma in situ del esofago;Carcinoma in situ del esofago;19/07/2024;A;1;100;A;1
1280;D002;Carcinoma in situ del estomago;Carcinoma in situ del estomago;19/07/2024;A;1;100;A;1
1281;D010;Carcinoma in situ del colon;Carcinoma in situ del colon;19/07/2024;A;1;100;A;1
1282;D011;Carcinoma in situ de la union rectosigmoidea;Carcinoma in situ de la union rectosigmoidea;19/07/2024;A;1;100;A;1
1283;D012;Carcinoma in situ del recto;Carcinoma in situ del recto;19/07/2024;A;1;100;A;1
